ענף,תחרות,קבוצה/אירוע,כמה משחקים/ימים,מה חסר,עיר נוכחית,מדינה,אצטדיון נוכחי,ההצעה שלי,רמת ביטחון בהצעה,תיקון שלך: אצטדיון,תיקון שלך: עיר,"תיקון שלך: קואורדינטות lat,lng",הערה
טניס,גביע בילי ג'ין קינג,גביע בילי ג'ין קינג - גמר,1,אצטדיון/אולם חסר,שנג'ן,China,,Shenzhen Bay Sports Center,בינונית,,,,
טניס,גביע יונייטד,גביע יונייטד,1,אצטדיון/אולם חסר,סידני,Australia,,Ken Rosewall Arena,בינונית,,,,אירוע רב-עירוני: מוצב בעיר הראשונה בלבד (סידני; גם פרת)
טניס,גביע לייבר,גביע לייבר,1,אצטדיון/אולם חסר,לונדון,United Kingdom,,The O2 Arena,גבוהה,,,,
טניס,גמר גביע דייוויס,גמר גביע דייוויס,1,אצטדיון/אולם חסר,בולוניה,Italy,,Unipol Arena,בינונית,,,,
טניס,גמר ה-ATP,גמר ה-ATP,1,אצטדיון/אולם חסר,טורינו,Italy,,Inalpi Arena,גבוהה,,,,
טניס,גמר ה-WTA,גמר ה-WTA,1,אצטדיון/אולם חסר,אינדיאן וולס,United States,,,,,,,AllSportDB מציין אינדיאן וולס; ה-WTA Finals בפועל נערך בריאד - לבדוק
טניס,גמר נקסט ג'ן ATP,גמר נקסט ג'ן ATP,1,אצטדיון/אולם חסר,רג'ו קלבריה,Italy,,PalaCalafiore,נמוכה,,,,
טניס,סיבוב ה-ATP,אליפות יפן הפתוחה,1,אצטדיון/אולם חסר,טוקיו,Japan,,Ariake Coliseum,בינונית,,,,
טניס,סיבוב ה-ATP,ארסטה בנק אופן (וינה),1,אצטדיון/אולם חסר,וינה,Austria,,Wiener Stadthalle,גבוהה,,,,
טניס,סיבוב ה-ATP,סוויס אינדורס (באזל),1,אצטדיון/אולם חסר,באזל,Switzerland,,St. Jakobshalle,גבוהה,,,,
טניס,סיבוב ה-ATP,רולקס פריז מאסטרס,1,אצטדיון/אולם חסר,פריז,France,,Accor Arena,גבוהה,,,,
טניס,סיבוב ה-ATP,רולקס שנגחאי מאסטרס,1,אצטדיון/אולם חסר,שנגחאי,China,,Qizhong Forest Sports City Arena,גבוהה,,,,
טניס,סיבוב ה-WTA,אליפות ווהאן הפתוחה,1,אצטדיון/אולם חסר,ווהאן,China,,Optics Valley International Tennis Center,בינונית,,,,
טניס,סיבוב ה-WTA,אליפות נינגבו הפתוחה,1,אצטדיון/אולם חסר,נינגבו,China,,,,,,,
טניס,סיבוב ה-WTA,אליפות סין הפתוחה,2,אצטדיון/אולם חסר,בייג'ינג,China,,National Tennis Center,בינונית,,,,
טניס,סיבוב ה-WTA,טוריי פאן פסיפיק אופן,1,אצטדיון/אולם חסר,טוקיו,Japan,,Ariake Coliseum,בינונית,,,,
טניס,סיבוב ה-WTA,סינגפור טניס אופן,1,אצטדיון/אולם חסר,סינגפור,Singapore,,,,,,,
דארטס,טורנירי הענק של PDC,גמר ה-Players Championship,1,אין סיכה מדויקת (קואורדינטות),מיינהד,England,Butlin's Minehead,,,,,,
דארטס,טורנירי הענק של PDC,גראנד סלאם של הדארטס,1,אין סיכה מדויקת (קואורדינטות),וולברהמפטון,England,WV Active Aldersley,,,,,,
כדורגל,גביע ה-FA,ת'יים יונייטד,1,אין סיכה מדויקת (קואורדינטות),"תיים, אוקספורדשייר",England,Meadow View Park,,,,,,
כדורגל,ליג טו,יורק,1,אין סיכה מדויקת (קואורדינטות),יורק,England,York`s LNER Community Stadium,,,,,,
כדורגל,סגונדה דיביזיון,ריאל סוסיאדד II,2,אין סיכה מדויקת (קואורדינטות),סן סבסטיאן,Spain,Estadio Zubieta,,,,,,
כדורגל,פרימיירה ליגה,אלוורקה,6,אין סיכה מדויקת (קואורדינטות),אלוורקה דו ריבטז'ו,Portugal,FC Alverca Sports Complex,,,,,,
כדורגל,פרימיירה ליגה,מורירנסה,5,אין סיכה מדויקת (קואורדינטות),מורירה דה קונגוס,Portugal,Parque Joaquim de Almeida Freitas,,,,,,
כדורגל,ליגת האומות,איטליה (כמארחת),3,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Italy,,,,,,,נבחרת שמשחקת בכמה אצטדיונים - אין הצעה
כדורגל,ליגת האומות,אנגליה (כמארחת),3,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,England,,"Wembley Stadium, לונדון",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,בוסניה והרצגובינה (כמארחת),1,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Bosnia and Herzegovina,,,,,,,נבחרת שמשחקת בכמה אצטדיונים - אין הצעה
כדורגל,ליגת האומות,בלגיה (כמארחת),2,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Belgium,,,,,,,נבחרת שמשחקת בכמה אצטדיונים - אין הצעה
כדורגל,ליגת האומות,גרמניה (כמארחת),3,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Germany,,,,,,,נבחרת שמשחקת בכמה אצטדיונים - אין הצעה
כדורגל,ליגת האומות,דנמרק (כמארחת),1,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Denmark,,"Parken, קופנהגן",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,הולנד (כמארחת),3,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Netherlands,,"Johan Cruijff Arena, אמסטרדם",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,ויילס (כמארחת),1,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Wales,,"Cardiff City Stadium, קארדיף",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,טורקיה (כמארחת),2,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Turkey,,,,,,,נבחרת שמשחקת בכמה אצטדיונים - אין הצעה
כדורגל,ליגת האומות,יוון (כמארחת),2,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Greece,,"OAKA Spyros Louis, אתונה",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,נורווגיה (כמארחת),1,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Norway,,"Ullevaal Stadion, אוסלו",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,ספרד (כמארחת),3,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Spain,,,,,,,נבחרת שמשחקת בכמה אצטדיונים - אין הצעה
כדורגל,ליגת האומות,סרביה (כמארחת),2,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Serbia,,"Rajko Mitić Stadium, בלגרד",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,פולין (כמארחת),3,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Poland,,"PGE Narodowy, ורשה",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,פורטוגל (כמארחת),3,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Portugal,,,,,,,נבחרת שמשחקת בכמה אצטדיונים - אין הצעה
כדורגל,ליגת האומות,צ'כיה (כמארחת),2,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Czechia,,,,,,,נבחרת שמשחקת בכמה אצטדיונים - אין הצעה
כדורגל,ליגת האומות,צרפת (כמארחת),3,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,France,,"Stade de France, סן-דני (פריז)",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,קרואטיה (כמארחת),2,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Croatia,,"Maksimir, זאגרב",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,רומניה (כמארחת),1,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Romania,,"Arena Națională, בוקרשט",בינונית - לבדוק לכל משחק,,,,
כדורגל,ליגת האומות,שוודיה (כמארחת),1,אין עיר ואצטדיון (ה-API לא מפרסם למשחקי נבחרות),,Sweden,,"Strawberry Arena, סולנה (שטוקהולם)",בינונית - לבדוק לכל משחק,,,,
כדורגל,אקסטרהקלאסה,ווידזב לודג',4,אצטדיון חסר,לודג',Poland,,,,,,,
כדורגל,אקסטרהקלאסה,רדומיאק רדום,4,אצטדיון חסר,רדום,Poland,,,,,,,
כדורגל,בונדסליגה,יוניון ברלין,7,אצטדיון חסר,ברלין,Germany,,,,,,,
כדורגל,בונדסליגה 2,אוסנבריק,6,אצטדיון חסר,אוסנבריק,Germany,,,,,,,
כדורגל,בונדסליגה 2,ארמיניה בילפלד,6,אצטדיון חסר,בילפלד,Germany,,,,,,,
כדורגל,גביע גרמניה,SSV ידלו,1,אצטדיון חסר,אדוכט,Germany,,,,,,,
כדורגל,גביע ה-FA,אבספליט יונייטד,1,אצטדיון חסר,"נורת'פליט, קנט",England,,,,,,,
כדורגל,גביע ה-FA,אוקסברידג',1,אצטדיון חסר,לונדון,England,,,,,,,
כדורגל,גביע ה-FA,אוקספורד סיטי,1,אצטדיון חסר,"אוקספורד, אוקספורדשייר",England,,,,,,,
כדורגל,גביע ה-FA,בדפורד טאון,1,אצטדיון חסר,"קרדינגטון, בדפורדשייר",England,,,,,,,
כדורגל,גביע ה-FA,בקסטון,1,אצטדיון חסר,"בקסטון, דרבישייר",England,,,,,,,
